Timestamp,Risk_Score,Prob_Neg,Keyword_Count,Article_Count
2026-02-24 21:00:00,0.5234255204087916,0.3181350580196721,31,61
2026-02-24 21:10:00,0.8493463810533285,0.89221984,1,1
2026-02-25 18:10:00,0.4918071756718887,0.23869448265777776,11,45
2026-02-25 18:20:00,0.1077512085437774,0.005865834,1,1
2026-02-25 18:40:00,0.5982022892450913,0.49576397250000004,3,4
2026-03-09 10:20:00,0.5929219152918964,0.5171610053132076,88,53
2026-03-09 11:50:00,0.5339799593354823,0.43144432745510203,56,49
2026-03-12 11:40:00,0.5285489650228679,0.4049484763044944,101,89
2026-03-17 00:10:00,0.684205502,0.4996156,2,1
2026-03-17 00:20:00,0.826897416,0.8226491,1,1
2026-03-17 00:30:00,0.490980981,0.025416402,0,1
2026-03-17 00:40:00,0.487819146,0.047459833,0,1
2026-03-17 01:00:00,0.4995595,0.007386682,0,1
2026-03-17 01:10:00,0.397309146,0.103390194,1,1
2026-03-17 01:20:00,0.6363451675,0.389991843,0,2
2026-03-17 01:30:00,0.166447147,0.008799995,0,1
2026-03-17 01:40:00,0.2927284715,0.0056237785,1,2
2026-03-17 01:50:00,0.4693053635,0.009010183500000001,1,2
2026-03-17 02:00:00,0.5936544615,0.42408187999999997,1,2
2026-03-17 02:10:00,0.494388459,0.041481253,0,1
2026-03-17 02:20:00,0.500161692,0.007118731,0,1
2026-03-17 02:30:00,0.503253862,0.012479277,1,1
2026-03-17 02:40:00,0.307463667,0.006610357,0,1
2026-03-17 02:50:00,0.508627889,0.039015825,0,2
2026-03-17 03:00:00,0.647306757,0.4685077365,1,2
2026-03-17 03:10:00,0.2931077105,0.150947203,1,2
2026-03-17 03:20:00,0.664080788,0.42372903,2,1
2026-03-17 03:30:00,0.5191074680000001,0.0808457835,0,2
2026-03-17 03:50:00,0.33753984550000005,0.039810859000000004,0,2
2026-03-17 04:00:00,0.6815404165,0.458304941,1,2
2026-03-17 04:10:00,0.8184039695,0.807249565,1,2
2026-03-17 04:30:00,0.448627141,0.0998483385,0,2
2026-03-17 04:40:00,0.5872210945,0.492531932,1,2
2026-03-17 04:50:00,0.643921645,0.3830591965,0,2
2026-03-17 05:00:00,0.6832237640000001,0.5211251923333333,1,3
2026-03-17 05:10:00,0.32245156399999997,0.0764541385,0,2
2026-03-17 05:20:00,0.6779142874999999,0.4496063835,0,2
2026-03-17 05:30:00,0.456741866,0.10173081,0,1
2026-03-17 05:40:00,0.490681809,0.15966533,0,1
2026-03-17 06:20:00,0.515117528,0.2733745,0,1
2026-03-17 06:30:00,0.1070280785,0.0018694559999999998,2,2
2026-03-17 06:50:00,0.524081602,0.10176681,0,1
2026-03-17 07:00:00,0.4285054175,0.0324952145,1,2
2026-03-17 07:10:00,0.397297938,0.016162607500000002,0,2
2026-03-17 07:20:00,0.144259735,0.02362368,0,1
2026-03-17 07:30:00,0.492301694,0.006249837,0,1
2026-03-17 07:40:00,0.491221928,0.004615361,0,1
2026-03-17 07:50:00,0.501293591,0.005618094,1,1
2026-03-17 08:20:00,0.555249595,0.14639932,0,1
2026-03-17 08:30:00,0.480099829,0.013041721,1,1
2026-03-17 08:40:00,0.108660202,0.002041964,0,1
2026-03-17 08:50:00,0.175712744,0.005897227,2,2
2026-03-17 09:00:00,0.495937137,0.07405267,0,1
2026-03-17 09:10:00,0.305734735,0.011577094999999999,0,2
2026-03-17 09:30:00,0.47806446,0.010057421,1,1
2026-03-17 09:40:00,0.451537225,0.0238642,0,1
2026-03-17 09:50:00,0.870978527,0.9348593,1,1
2026-03-17 10:00:00,0.49150249,0.009623072,1,1
2026-03-17 10:10:00,0.1081841955,0.005285277499999999,4,2
2026-03-17 11:00:00,0.504145426,0.18961476,0,1
2026-03-17 11:10:00,0.460167263,0.053710636,0,1
2026-03-17 11:20:00,0.467089384,0.4177477585,2,2
2026-03-17 11:30:00,0.566002563,0.23435673,1,1
2026-03-17 11:40:00,0.1838990035,0.008815164,1,2
2026-03-17 11:50:00,0.525260088,0.13390416,0,1
2026-03-17 12:10:00,0.509508331,0.038433656,0,1
2026-03-17 12:20:00,0.466593402,0.08791789,0,1
2026-03-17 12:50:00,0.489598492,0.023929508,0,1
2026-03-17 13:00:00,0.489503132,0.029481603,0,1
2026-03-17 13:10:00,0.5466307985,0.38183755325,0,4
2026-03-17 13:20:00,0.40242473,0.069921227,1,2
2026-03-17 13:30:00,0.857493297,0.902724802,3,1
2026-03-17 13:40:00,0.37564535433333335,0.31410398033333337,2,3
2026-03-17 13:50:00,0.23521891233333334,0.022152672333333335,1,3
2026-03-17 14:00:00,0.37144078199999997,0.018210449,2,2
2026-03-17 14:10:00,0.2409799056666667,0.024693095666666668,2,3
2026-03-17 14:20:00,0.459908155,0.3907966235,1,2
2026-03-17 14:30:00,0.864918579,0.918204904,0,1
2026-03-17 14:40:00,0.44853578,0.01513022,1,1
2026-03-17 15:00:00,0.316324373,0.014306244499999999,3,2
2026-03-17 15:10:00,0.5515016660000001,0.34904211300000004,2,2
2026-03-17 15:30:00,0.4877249765,0.440792652,3,2
2026-03-17 15:40:00,0.490512487,0.03427094,0,1
2026-03-17 16:40:00,0.5741621295652697,0.4673015329776596,122,94
2026-03-17 17:00:00,0.856551857,0.896034718,2,1
2026-03-17 17:20:00,0.108883474,0.001835472,2,1
2026-03-17 17:50:00,0.220434994,0.008025737,2,1
2026-03-17 18:10:00,0.88285662,0.963564336,2,1
2026-03-17 18:20:00,0.874627476,0.940258682,3,1
2026-03-17 18:30:00,0.3284766655,0.0718487875,2,2
2026-03-17 18:40:00,0.505647786,0.031746455,1,1
2026-03-17 18:50:00,0.50163357,0.012405985,1,1
2026-03-17 19:00:00,0.499913854,0.008340145,2,1
2026-03-17 19:10:00,0.811556073,0.785494566,3,1
2026-03-17 20:40:00,0.505420196,0.017746845,1,1
2026-03-17 20:50:00,0.144933824,0.003480528,2,1
2026-03-17 21:50:00,0.10387953,0.001427961,2,1
